country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
Birmingham,,White - English/Welsh/Scottish/Northern Irish/British,,,Stolen goods,"{'latitude': '52.481044', 'street': {'id': 1255845, 'name': 'On or near Garrison Street'}, 'longitude': '-1.872060'}"
Birmingham,,Asian/Asian British - Pakistani,,Asian,Controlled drugs,"{'latitude': '52.475540', 'street': {'id': 1255957, 'name': 'On or near Conference/Exhibition Centre'}, 'longitude': '-1.897605'}"
Birmingham,10-17,Asian/Asian British - Pakistani,,Asian,Controlled drugs,"{'latitude': '52.474235', 'street': {'id': 1255919, 'name': 'On or near Parking Area'}, 'longitude': '-1.895841'}"
Birmingham,10-17,Asian/Asian British - Pakistani,,Asian,Controlled drugs,"{'latitude': '52.475755', 'street': {'id': 1255955, 'name': 'On or near Nightclub'}, 'longitude': '-1.896367'}"
Birmingham,,White - English/Welsh/Scottish/Northern Irish/British,,,Offensive weapons,"{'latitude': '52.474235', 'street': {'id': 1255919, 'name': 'On or near Parking Area'}, 'longitude': '-1.895841'}"
Birmingham,18-24,White - English/Welsh/Scottish/Northern Irish/British,,,Controlled drugs,"{'latitude': '52.478130', 'street': {'id': 1255960, 'name': 'On or near Shopping Area'}, 'longitude': '-1.898659'}"
Birmingham,over 34,White - English/Welsh/Scottish/Northern Irish/British,,,Stolen goods,"{'latitude': '52.477535', 'street': {'id': 1255905, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-1.896319'}"
Birmingham,18-24,Black/African/Caribbean/Black British - African,,,Controlled drugs,"{'latitude': '52.484799', 'street': {'id': 1256069, 'name': 'On or near Brook Street'}, 'longitude': '-1.907508'}"
Birmingham,18-24,White - English/Welsh/Scottish/Northern Irish/British,,,Article for use in theft,"{'latitude': '52.476510', 'street': {'id': 1255904, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-1.896719'}"
Birmingham,18-24,White - English/Welsh/Scottish/Northern Irish/British,,,Controlled drugs,"{'latitude': '52.478130', 'street': {'id': 1255960, 'name': 'On or near Shopping Area'}, 'longitude': '-1.898659'}"
Birmingham,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,,Offensive weapons,"{'latitude': '52.497144', 'street': {'id': 1258681, 'name': 'On or near Porchester Street'}, 'longitude': '-1.898335'}"
Birmingham,10-17,Black/African/Caribbean/Black British - African,,,Offensive weapons,"{'latitude': '52.497144', 'street': {'id': 1258681, 'name': 'On or near Porchester Street'}, 'longitude': '-1.898335'}"
Birmingham,10-17,Black/African/Caribbean/Black British - African,,,Offensive weapons,"{'latitude': '52.497144', 'street': {'id': 1258681, 'name': 'On or near Porchester Street'}, 'longitude': '-1.898335'}"
Birmingham,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,,Offensive weapons,"{'latitude': '52.497144', 'street': {'id': 1258681, 'name': 'On or near Porchester Street'}, 'longitude': '-1.898335'}"
Birmingham,10-17,Black/African/Caribbean/Black British - Caribbean,,,Offensive weapons,"{'latitude': '52.497144', 'street': {'id': 1258681, 'name': 'On or near Porchester Street'}, 'longitude': '-1.898335'}"
Birmingham,25-34,White - English/Welsh/Scottish/Northern Irish/British,,,Controlled drugs,"{'latitude': '52.486823', 'street': {'id': 1258632, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-1.898815'}"
Birmingham,over 34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,,Other,Controlled drugs,"{'latitude': '52.494727', 'street': {'id': 1258659, 'name': 'On or near Frankfort Street'}, 'longitude': '-1.899843'}"
Birmingham,,,,,Offensive weapons,"{'latitude': '52.474235', 'street': {'id': 1255919, 'name': 'On or near Parking Area'}, 'longitude': '-1.895841'}"
Birmingham,10-17,Black/African/Caribbean/Black British - Caribbean,,,Offensive weapons,"{'latitude': '52.494892', 'street': {'id': 1258639, 'name': 'On or near St Stephens Street'}, 'longitude': '-1.894172'}"
Birmingham,10-17,Black/African/Caribbean/Black British - African,,,Offensive weapons,"{'latitude': '52.498139', 'street': {'id': 1258675, 'name': 'On or near Parking Area'}, 'longitude': '-1.895269'}"
Birmingham,10-17,Black/African/Caribbean/Black British - Caribbean,,,Offensive weapons,"{'latitude': '52.494491', 'street': {'id': 1258661, 'name': 'On or near Chilwell Croft'}, 'longitude': '-1.897841'}"
Birmingham,10-17,Black/African/Caribbean/Black British - Caribbean,,,Offensive weapons,"{'latitude': '52.498139', 'street': {'id': 1258675, 'name': 'On or near Parking Area'}, 'longitude': '-1.895269'}"
Birmingham,10-17,Asian/Asian British - Pakistani,,Asian,Controlled drugs,"{'latitude': '52.473004', 'street': {'id': 1256035, 'name': 'On or near Birchall Street'}, 'longitude': '-1.886746'}"
