country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
surrey,over 34,Other ethnic group - Not stated,Male,White,Stolen goods,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,18-24,Asian/Asian British - Any other Asian background,Male,Asian,Anything to threaten or harm anyone,"{'latitude': '51.319464', 'street': {'id': 1153963, 'name': 'On or near The Broadway'}, 'longitude': '-0.555364'}"
surrey,18-24,Asian/Asian British - Any other Asian background,Male,Asian,Anything to threaten or harm anyone,"{'latitude': '51.319464', 'street': {'id': 1153963, 'name': 'On or near The Broadway'}, 'longitude': '-0.555364'}"
surrey,25-34,Other ethnic group - Any other ethnic group,Female,White,Controlled drugs,"{'latitude': '51.316852', 'street': {'id': 1153920, 'name': 'On or near Heathside Crescent'}, 'longitude': '-0.557240'}"
surrey,18-24,Other ethnic group - Not stated,,Black,Controlled drugs,"{'latitude': '51.318600', 'street': {'id': 1488198, 'name': 'Woking (Station)'}, 'longitude': '-0.557111'}"
surrey,over 34,Other ethnic group - Any other ethnic group,Male,White,Controlled drugs,"{'latitude': '51.318600', 'street': {'id': 1488198, 'name': 'Woking (Station)'}, 'longitude': '-0.557111'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Controlled drugs,"{'latitude': '51.318600', 'street': {'id': 1488198, 'name': 'Woking (Station)'}, 'longitude': '-0.557111'}"
surrey,18-24,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.318600', 'street': {'id': 1488198, 'name': 'Woking (Station)'}, 'longitude': '-0.557111'}"
surrey,10-17,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Anything to threaten or harm anyone,"{'latitude': '51.317957', 'street': {'id': 1153902, 'name': 'On or near Station Approach'}, 'longitude': '-0.556373'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons,"{'latitude': '51.317957', 'street': {'id': 1153902, 'name': 'On or near Station Approach'}, 'longitude': '-0.556373'}"
surrey,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.324730', 'street': {'id': 1153976, 'name': 'On or near Molloy Court'}, 'longitude': '-0.549286'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.315692', 'street': {'id': 1153919, 'name': 'On or near Heathside Road'}, 'longitude': '-0.557233'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.312379', 'street': {'id': 1152943, 'name': 'On or near Woodlands'}, 'longitude': '-0.559776'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.320735', 'street': {'id': 1153804, 'name': 'On or near Victoria Way'}, 'longitude': '-0.560735'}"
surrey,under 10,White - Any other White background,Female,White,Controlled drugs,"{'latitude': '51.312379', 'street': {'id': 1152943, 'name': 'On or near Woodlands'}, 'longitude': '-0.559776'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.325763', 'street': {'id': 1154047, 'name': 'On or near Boundary Road'}, 'longitude': '-0.549181'}"
surrey,18-24,White - Any other White background,Male,White,Article for use in theft,"{'latitude': '51.316072', 'street': {'id': 1153925, 'name': 'On or near Supermarket'}, 'longitude': '-0.559618'}"
surrey,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Anything to threaten or harm anyone,"{'latitude': '51.305358', 'street': {'id': 1152974, 'name': 'On or near Ash Road'}, 'longitude': '-0.566552'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.320831', 'street': {'id': 1153669, 'name': 'On or near Well Close'}, 'longitude': '-0.577436'}"
surrey,over 34,Other ethnic group - Not stated,Male,Asian,Offensive weapons,"{'latitude': '51.312834', 'street': {'id': 1152919, 'name': 'On or near Erica Court'}, 'longitude': '-0.569806'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Anything to threaten or harm anyone,"{'latitude': '51.324730', 'street': {'id': 1153976, 'name': 'On or near Molloy Court'}, 'longitude': '-0.549286'}"
surrey,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Anything to threaten or harm anyone,"{'latitude': '51.317957', 'street': {'id': 1153902, 'name': 'On or near Station Approach'}, 'longitude': '-0.556373'}"
surrey,over 34,Other ethnic group - Any other ethnic group,Male,White,Stolen goods,"{'latitude': '51.320786', 'street': {'id': 1153802, 'name': 'On or near West Street'}, 'longitude': '-0.558279'}"
surrey,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Offensive weapons,"{'latitude': '51.318566', 'street': {'id': 1153907, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-0.556928'}"
surrey,18-24,White - Any other White background,Female,White,Article for use in theft,"{'latitude': '51.316072', 'street': {'id': 1153925, 'name': 'On or near Supermarket'}, 'longitude': '-0.559618'}"
surrey,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Anything to threaten or harm anyone,"{'latitude': '51.318600', 'street': {'id': 1488198, 'name': 'Woking (Station)'}, 'longitude': '-0.557111'}"
surrey,,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.318600', 'street': {'id': 1488198, 'name': 'Woking (Station)'}, 'longitude': '-0.557111'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.318600', 'street': {'id': 1488198, 'name': 'Woking (Station)'}, 'longitude': '-0.557111'}"
surrey,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Black,Controlled drugs,"{'latitude': '51.318600', 'street': {'id': 1488198, 'name': 'Woking (Station)'}, 'longitude': '-0.557111'}"
