country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
london,25-34,White - Any other White background,Male,White,Offensive weapons,"{'latitude': '51.514347', 'street': {'id': 956356, 'name': 'On or near Argyll Street'}, 'longitude': '-0.140569'}"
london,18-24,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.514988', 'street': {'id': 956533, 'name': 'On or near Carlisle Street'}, 'longitude': '-0.133380'}"
london,18-24,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.514988', 'street': {'id': 956533, 'name': 'On or near Carlisle Street'}, 'longitude': '-0.133380'}"
london,,Other ethnic group - Not stated,Male,Other,Controlled drugs,"{'latitude': '51.515111', 'street': {'id': 956393, 'name': 'On or near Shopping Area'}, 'longitude': '-0.145107'}"
london,25-34,Asian/Asian British - Any other Asian background,Male,White,Controlled drugs,"{'latitude': '51.515111', 'street': {'id': 956393, 'name': 'On or near Shopping Area'}, 'longitude': '-0.145107'}"
london,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Stolen goods,"{'latitude': '51.501207', 'street': {'id': 953429, 'name': 'On or near Great George Street'}, 'longitude': '-0.128569'}"
london,25-34,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.501207', 'street': {'id': 953429, 'name': 'On or near Great George Street'}, 'longitude': '-0.128569'}"
london,18-24,Other ethnic group - Not stated,Male,Asian,Controlled drugs,"{'latitude': '51.501207', 'street': {'id': 953429, 'name': 'On or near Great George Street'}, 'longitude': '-0.128569'}"
london,10-17,Other ethnic group - Not stated,Male,Asian,Controlled drugs,"{'latitude': '51.501207', 'street': {'id': 953429, 'name': 'On or near Great George Street'}, 'longitude': '-0.128569'}"
london,25-34,White - Any other White background,Male,White,Stolen goods,"{'latitude': '51.515441', 'street': {'id': 956165, 'name': 'On or near Parker Mews'}, 'longitude': '-0.122321'}"
london,18-24,Other ethnic group - Not stated,Male,White,Controlled drugs,"{'latitude': '51.501207', 'street': {'id': 953429, 'name': 'On or near Great George Street'}, 'longitude': '-0.128569'}"
london,18-24,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.501207', 'street': {'id': 953429, 'name': 'On or near Great George Street'}, 'longitude': '-0.128569'}"
london,10-17,Other ethnic group - Not stated,Male,Black,Stolen goods,"{'latitude': '51.509583', 'street': {'id': 956204, 'name': 'On or near Adam Street'}, 'longitude': '-0.122101'}"
london,18-24,White - Any other White background,Male,White,Stolen goods,"{'latitude': '51.511595', 'street': {'id': 956536, 'name': 'On or near Brewer Street'}, 'longitude': '-0.135464'}"
london,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,White,Stolen goods,"{'latitude': '51.515111', 'street': {'id': 956393, 'name': 'On or near Shopping Area'}, 'longitude': '-0.145107'}"
london,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Female,Black,Offensive weapons,"{'latitude': '51.514289', 'street': {'id': 956341, 'name': 'On or near Great Marlborough Street'}, 'longitude': '-0.139231'}"
london,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons,"{'latitude': '51.514289', 'street': {'id': 956341, 'name': 'On or near Great Marlborough Street'}, 'longitude': '-0.139231'}"
london,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Offensive weapons,"{'latitude': '51.514289', 'street': {'id': 956341, 'name': 'On or near Great Marlborough Street'}, 'longitude': '-0.139231'}"
london,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons,"{'latitude': '51.514289', 'street': {'id': 956341, 'name': 'On or near Great Marlborough Street'}, 'longitude': '-0.139231'}"
london,10-17,Other ethnic group - Not stated,Male,White,Stolen goods,"{'latitude': '51.515111', 'street': {'id': 956393, 'name': 'On or near Shopping Area'}, 'longitude': '-0.145107'}"
london,18-24,White - Any other White background,Male,White,Stolen goods,"{'latitude': '51.505904', 'street': {'id': 956703, 'name': 'On or near Piccadilly'}, 'longitude': '-0.144631'}"
london,10-17,White - Any other White background,Male,White,Stolen goods,"{'latitude': '51.505904', 'street': {'id': 956703, 'name': 'On or near Piccadilly'}, 'longitude': '-0.144631'}"
london,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.495351', 'street': {'id': 953393, 'name': 'On or near Carlisle Place'}, 'longitude': '-0.140896'}"
london,25-34,Other ethnic group - Not stated,Male,Black,Controlled drugs,"{'latitude': '51.498328', 'street': {'id': 953294, 'name': 'On or near Abbey Orchard Street'}, 'longitude': '-0.131338'}"
london,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.498328', 'street': {'id': 953294, 'name': 'On or near Abbey Orchard Street'}, 'longitude': '-0.131338'}"
london,,,,,Controlled drugs,"{'latitude': '51.514988', 'street': {'id': 956533, 'name': 'On or near Carlisle Street'}, 'longitude': '-0.133380'}"
london,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,White,Articles for use in criminal damage,"{'latitude': '51.501207', 'street': {'id': 953429, 'name': 'On or near Great George Street'}, 'longitude': '-0.128569'}"
london,18-24,White - Any other White background,Male,White,Articles for use in criminal damage,"{'latitude': '51.501207', 'street': {'id': 953429, 'name': 'On or near Great George Street'}, 'longitude': '-0.128569'}"
london,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Controlled drugs,"{'latitude': '51.495351', 'street': {'id': 953393, 'name': 'On or near Carlisle Place'}, 'longitude': '-0.140896'}"
london,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,White,Articles for use in criminal damage,"{'latitude': '51.501207', 'street': {'id': 953429, 'name': 'On or near Great George Street'}, 'longitude': '-0.128569'}"
london,25-34,White - Any other White background,Male,White,Articles for use in criminal damage,"{'latitude': '51.501207', 'street': {'id': 953429, 'name': 'On or near Great George Street'}, 'longitude': '-0.128569'}"
london,,Other ethnic group - Not stated,Male,White,Stolen goods,"{'latitude': '51.500844', 'street': {'id': 953528, 'name': 'On or near Westminster Bridge Road'}, 'longitude': '-0.122777'}"
london,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.507378', 'street': {'id': 956665, 'name': 'On or near Charing Cross'}, 'longitude': '-0.128186'}"
london,25-34,White - Any other White background,Male,White,Offensive weapons,"{'latitude': '51.506818', 'street': {'id': 956679, 'name': 'On or near Piccadilly'}, 'longitude': '-0.142735'}"
london,25-34,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.509312', 'street': {'id': 956203, 'name': 'On or near Adelaide Street'}, 'longitude': '-0.125931'}"
london,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.509150', 'street': {'id': 956550, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-0.134959'}"
london,,White - Irish,Male,White,Controlled drugs,"{'latitude': '51.517965', 'street': {'id': 956622, 'name': 'On or near Newman Passage'}, 'longitude': '-0.135680'}"
london,25-34,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs,"{'latitude': '51.499482', 'street': {'id': 953269, 'name': 'On or near Petty France'}, 'longitude': '-0.136016'}"
london,25-34,Asian/Asian British - Pakistani,Male,Other,Controlled drugs,"{'latitude': '51.499482', 'street': {'id': 953269, 'name': 'On or near Petty France'}, 'longitude': '-0.136016'}"
london,25-34,White - Any other White background,Male,Asian,Controlled drugs,"{'latitude': '51.499482', 'street': {'id': 953269, 'name': 'On or near Petty France'}, 'longitude': '-0.136016'}"
london,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Articles for use in criminal damage,"{'latitude': '51.512590', 'street': {'id': 956496, 'name': 'On or near Lexington Street'}, 'longitude': '-0.135856'}"
london,,Other ethnic group - Not stated,Male,Black,Controlled drugs,"{'latitude': '51.497183', 'street': {'id': 953270, 'name': ""On or near Perkin'S Rents""}, 'longitude': '-0.132249'}"
london,25-34,Other ethnic group - Not stated,Male,,Controlled drugs,"{'latitude': '51.497183', 'street': {'id': 953270, 'name': ""On or near Perkin'S Rents""}, 'longitude': '-0.132249'}"
london,,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Evidence of offences under the Act,"{'latitude': '51.507613', 'street': {'id': 956646, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-0.127701'}"
london,18-24,Asian/Asian British - Any other Asian background,Male,Asian,Controlled drugs,"{'latitude': '51.498530', 'street': {'id': 953436, 'name': 'On or near Newnham Terrace'}, 'longitude': '-0.113047'}"
london,over 34,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.494518', 'street': {'id': 953407, 'name': 'On or near Rochester Row'}, 'longitude': '-0.136579'}"
london,18-24,Other ethnic group - Any other ethnic group,Male,Other,Controlled drugs,"{'latitude': '51.514499', 'street': {'id': 956320, 'name': 'On or near Princes Street'}, 'longitude': '-0.142797'}"
london,18-24,Black/African/Caribbean/Black British - African,Male,Black,Controlled drugs,"{'latitude': '51.514988', 'street': {'id': 956533, 'name': 'On or near Carlisle Street'}, 'longitude': '-0.133380'}"
london,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Controlled drugs,"{'latitude': '51.502304', 'street': {'id': 953372, 'name': 'On or near Constitution Hill'}, 'longitude': '-0.145007'}"
london,over 34,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.503196', 'street': {'id': 953311, 'name': 'On or near Downing Street'}, 'longitude': '-0.127032'}"
london,18-24,Other ethnic group - Not stated,Male,Black,Controlled drugs,"{'latitude': '51.514988', 'street': {'id': 956533, 'name': 'On or near Carlisle Street'}, 'longitude': '-0.133380'}"
london,18-24,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.503196', 'street': {'id': 953311, 'name': 'On or near Downing Street'}, 'longitude': '-0.127032'}"
london,18-24,Other ethnic group - Not stated,Male,White,Controlled drugs,"{'latitude': '51.510051', 'street': {'id': 956527, 'name': 'On or near Coventry Street'}, 'longitude': '-0.133971'}"
london,18-24,Other ethnic group - Not stated,Male,White,Controlled drugs,"{'latitude': '51.510051', 'street': {'id': 956527, 'name': 'On or near Coventry Street'}, 'longitude': '-0.133971'}"
london,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Controlled drugs,"{'latitude': '51.503196', 'street': {'id': 953311, 'name': 'On or near Downing Street'}, 'longitude': '-0.127032'}"
london,18-24,Black/African/Caribbean/Black British - African,Female,Black,Controlled drugs,"{'latitude': '51.514988', 'street': {'id': 956533, 'name': 'On or near Carlisle Street'}, 'longitude': '-0.133380'}"
london,,Other ethnic group - Not stated,Male,Black,Controlled drugs,"{'latitude': '51.512330', 'street': {'id': 956574, 'name': 'On or near Nightclub'}, 'longitude': '-0.133633'}"
london,25-34,Asian/Asian British - Any other Asian background,Male,Asian,Controlled drugs,"{'latitude': '51.510437', 'street': {'id': 956159, 'name': 'On or near Savoy Court'}, 'longitude': '-0.120942'}"
london,,Other ethnic group - Not stated,Male,Other,Stolen goods,"{'latitude': '51.515111', 'street': {'id': 956393, 'name': 'On or near Shopping Area'}, 'longitude': '-0.145107'}"
london,,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Stolen goods,"{'latitude': '51.508926', 'street': {'id': 956502, 'name': 'On or near Haymarket'}, 'longitude': '-0.132187'}"
london,,Asian/Asian British - Any other Asian background,Male,Other,Stolen goods,"{'latitude': '51.515111', 'street': {'id': 956393, 'name': 'On or near Shopping Area'}, 'longitude': '-0.145107'}"
london,18-24,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.510606', 'street': {'id': 956383, 'name': 'On or near Bruton Street'}, 'longitude': '-0.144540'}"
london,25-34,Asian/Asian British - Pakistani,Male,Asian,Controlled drugs,"{'latitude': '51.499482', 'street': {'id': 953269, 'name': 'On or near Petty France'}, 'longitude': '-0.136016'}"
