age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
25-34,White - Any other White background,Male,White,None,"{'latitude': '53.407376', 'street': {'id': 912074, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-2.981323'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,None,None,"{'latitude': '53.407489', 'street': {'id': 912063, 'name': 'On or near Lime Street'}, 'longitude': '-2.979611'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405982', 'street': {'id': 912079, 'name': 'On or near Back Lime Street'}, 'longitude': '-2.979260'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,White,None,"{'latitude': '53.407213', 'street': {'id': 912015, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-2.979333'}"
over 34,White - Irish,Male,White,None,"{'latitude': '53.409458', 'street': {'id': 912049, 'name': 'On or near Parking Area'}, 'longitude': '-2.983958'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,None,"{'latitude': '53.409786', 'street': {'id': 911912, 'name': 'On or near Parking Area'}, 'longitude': '-2.974579'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Female,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405771', 'street': {'id': 910343, 'name': 'On or near Shopping Area'}, 'longitude': '-2.981888'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.390927', 'street': {'id': 908665, 'name': 'On or near Geraint Street'}, 'longitude': '-2.964659'}"
over 34,Other ethnic group - Not stated,Male,White,None,"{'latitude': '53.409786', 'street': {'id': 911912, 'name': 'On or near Parking Area'}, 'longitude': '-2.974579'}"
over 34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Other,None,"{'latitude': '53.391191', 'street': {'id': 908672, 'name': 'On or near Chesney Close'}, 'longitude': '-2.972048'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.394086', 'street': {'id': 910392, 'name': 'On or near Ashwell Street'}, 'longitude': '-2.976415'}"
25-34,White - Any other White background,Male,White,None,"{'latitude': '53.401046', 'street': {'id': 910385, 'name': 'On or near Berry Street'}, 'longitude': '-2.976003'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.404365', 'street': {'id': 910355, 'name': 'On or near Upper Newington'}, 'longitude': '-2.976861'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.409256', 'street': {'id': 911941, 'name': 'On or near Norton Street'}, 'longitude': '-2.974566'}"
18-24,White - Any other White background,Male,White,None,"{'latitude': '53.411385', 'street': {'id': 912068, 'name': 'On or near Fontenoy Street'}, 'longitude': '-2.983567'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.409277', 'street': {'id': 912030, 'name': 'On or near Lime Street'}, 'longitude': '-2.978599'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.403472', 'street': {'id': 910338, 'name': 'On or near Nightclub'}, 'longitude': '-2.980571'}"
18-24,None,Male,Other,None,"{'latitude': '53.402353', 'street': {'id': 910560, 'name': 'On or near Duke Street Lane'}, 'longitude': '-2.985464'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,White,None,"{'latitude': '53.395080', 'street': {'id': 910335, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-2.981175'}"
18-24,None,Male,Other,None,"{'latitude': '53.405648', 'street': {'id': 910569, 'name': 'On or near Shopping Area'}, 'longitude': '-2.987014'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,White,None,"{'latitude': '53.395080', 'street': {'id': 910335, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-2.981175'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Female,White,None,"{'latitude': '53.405686', 'street': {'id': 910344, 'name': 'On or near Shopping Area'}, 'longitude': '-2.983495'}"
25-34,White - Any other White background,Male,Asian,None,"{'latitude': '53.409479', 'street': {'id': 912011, 'name': 'On or near Supermarket'}, 'longitude': '-2.970434'}"
over 34,Other ethnic group - Not stated,Male,Asian,None,"{'latitude': '53.400876', 'street': {'id': 910549, 'name': 'On or near Lakeland Close'}, 'longitude': '-2.984753'}"
over 34,Other ethnic group - Not stated,Male,White,None,"{'latitude': '53.400170', 'street': {'id': 910389, 'name': 'On or near Back Knight Street'}, 'longitude': '-2.975487'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.400170', 'street': {'id': 910389, 'name': 'On or near Back Knight Street'}, 'longitude': '-2.975487'}"
Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.391191', 'street': {'id': 908672, 'name': 'On or near Chesney Close'}, 'longitude': '-2.972048'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.394620', 'street': {'id': 910486, 'name': 'On or near Alexandra Terrace'}, 'longitude': '-2.964908'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.399960', 'street': {'id': 910490, 'name': 'On or near Conference/Exhibition Centre'}, 'longitude': '-2.970308'}"
18-24,Other ethnic group - Not stated,Male,None,None,"{'latitude': '53.407376', 'street': {'id': 912074, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-2.981323'}"
18-24,Asian/Asian British - Any other Asian background,Male,Asian,None,"{'latitude': '53.407376', 'street': {'id': 912074, 'name': 'On or near Theatre/Concert Hall'}, 'longitude': '-2.981323'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.390596', 'street': {'id': 908555, 'name': 'On or near Parking Area'}, 'longitude': '-2.986531'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.405533', 'street': {'id': 910532, 'name': 'On or near Water Street'}, 'longitude': '-2.995480'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.407939', 'street': {'id': 912044, 'name': 'On or near Shopping Area'}, 'longitude': '-2.977364'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.409458', 'street': {'id': 912049, 'name': 'On or near Parking Area'}, 'longitude': '-2.983958'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.409037', 'street': {'id': 912054, 'name': 'On or near Victoria Street'}, 'longitude': '-2.982670'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.403024', 'street': {'id': 910339, 'name': 'On or near Nightclub'}, 'longitude': '-2.979358'}"
over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,White,None,"{'latitude': '53.409458', 'street': {'id': 912049, 'name': 'On or near Parking Area'}, 'longitude': '-2.983958'}"
25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.409458', 'street': {'id': 912049, 'name': 'On or near Parking Area'}, 'longitude': '-2.983958'}"
18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,None,"{'latitude': '53.406967', 'street': {'id': 912052, 'name': 'On or near Parking Area'}, 'longitude': '-2.981930'}"
